Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-01-03,75.86,77.11,75.86,76.74,27951
2022-01-04,77.41,77.6,76.76,76.87,5783
2022-01-05,77.36,77.36,76.74,77.2,1896
2022-01-07,77.1,77.47,76.7,77.47,2350
2022-01-10,77.65,78,77.23,77.23,4682
2022-01-11,77.65,78.7,77.65,78.27,4479
2022-01-12,78.9,79.22,78.85,79.07,4771
2022-01-13,79.56,79.73,78.57,78.98,4034
2022-01-14,79.07,79.07,78,78.29,3591
2022-01-17,78.3,78.64,78,78.42,2075
2022-01-18,78.5,78.5,77.02,77.38,7379
2022-01-19,76.39,77,75.89,76.75,6117
2022-01-20,76.85,76.87,75.33,76.23,4125
2022-01-21,75.16,75.55,74.16,74.49,12073
2022-01-24,74,74.59,70.46,71.81,13632
2022-01-25,71.93,72.83,71.55,72.31,5969
2022-01-26,72.67,73.71,72.67,73.35,5211
2022-01-27,72.98,73.98,72.85,73.72,1540
2022-01-28,73.65,73.7,72.34,73,4594
2022-01-31,73.41,73.78,72.23,72.23,2923
2022-02-01,73.47,74.17,73.47,73.73,2043
2022-02-02,74.14,75.02,74,75.02,2755
2022-02-03,75.38,75.38,74.74,75.15,1548
2022-02-04,75.25,75.5,73.77,74.39,2361
2022-02-07,75.15,75.15,73.89,74.5,1346
2022-02-08,74.81,75.15,74.6,74.99,1563
2022-02-09,75,75,74.6,74.67,1215
2022-02-10,74.91,75,74.05,74.6,1995
2022-02-11,73.86,73.86,72.73,73.7,4397
2022-02-14,71.57,72.32,70.29,71.36,13372
2022-02-15,72.09,73.95,72.09,73,2513
2022-02-16,73.8,74.41,73,73.31,3421
2022-02-17,73.6,73.6,71.55,71.67,1920
2022-02-18,71.52,72.2,71.38,72.2,3823
2022-02-21,70.98,71.5,68.73,69.33,11332
2022-02-22,67.64,69.97,66.78,69.73,9610
2022-02-23,69.89,70.55,68.21,68.75,2836
2022-02-24,66.83,67.7,58.36,60.71,51022
2022-02-25,62.54,65.58,61.97,64.79,24302
2022-02-28,64.75,65.37,63.6,65.37,8379
2022-03-01,65.8,66.61,63.16,65,7846
2022-03-02,63.15,63.8,62.04,63.34,8301
2022-03-03,63.89,64.09,62.57,63.34,3946
2022-03-04,62.91,62.91,60.06,61,19265
2022-03-07,59.47,60.37,57.3,59.88,22556
2022-03-08,59.93,61.28,58.82,59.14,10612
2022-03-09,60.54,62,60.53,62,10452
2022-03-10,63.1,63.1,61.5,61.79,30467
2022-03-11,62.51,63.04,61.89,62.46,16818
