Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-01-03,286.55,289.9,285.35,289.5,5327
2022-01-04,290.35,295.1,287.75,292,3696
2022-01-05,292.6,292.6,290,291.2,964
2022-01-07,292.55,300.2,290.5,292.5,931
2022-01-10,293.6,293.6,289.25,290,1356
2022-01-11,292.55,294.3,291.9,293.25,823
2022-01-12,295.8,297.45,295.7,296.5,1567
2022-01-13,298.55,299.05,297,297,979
2022-01-14,297.6,297.9,295,295,659
2022-01-17,296.9,296.95,295,296,780
2022-01-18,297.95,297.95,294.3,294.5,924
2022-01-19,292.35,292.35,288,290.25,1250
2022-01-20,291.25,291.25,285.9,286.8,1184
2022-01-21,286,286,282,283.1,598
2022-01-24,283.1,283.2,268,269.9,1660
2022-01-25,269.7,276.3,269.7,271.45,849
2022-01-26,276.25,278.2,276.25,276.6,245
2022-01-27,275.5,275.5,274.9,275,206
2022-01-28,277.6,277.6,272.5,273,381
2022-01-31,273,276.2,273,275.8,2332
2022-02-01,277.35,278.65,277.35,277.5,337
2022-02-02,279.95,281.6,278.6,279,391
2022-02-03,281.3,281.6,278.5,278.5,200
2022-02-04,281.15,281.15,278,278.7,77
2022-02-07,279.6,280.95,276.45,277.5,257
2022-02-08,277.05,278.65,277,278,162
2022-02-09,279.6,280.4,279,279,203
2022-02-10,280.15,280.4,278.5,279,42
2022-02-11,279,279.7,278,279,70
2022-02-14,272.4,272.45,267.5,271,2122
2022-02-15,271.6,276.6,271.5,272.6,966
2022-02-16,275.4,278.1,275,275,422
2022-02-17,275.6,275.6,270.9,270.9,71
2022-02-18,269.05,272.45,269,272,431
2022-02-21,271.6,271.6,263.9,264.6,1351
2022-02-22,258.4,266.05,256.6,263.85,523
2022-02-23,267,267.9,263.5,263.5,293
2022-02-24,249,249,233,242.8,3924
2022-02-25,249.05,254.8,248,254,5366
2022-02-28,255,257.3,250,256.55,950
2022-03-01,258.8,260,252.7,254.4,1617
