Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-01-03,39.265,39.73,39.265,39.43,10082
2022-01-04,39.495,39.675,39.42,39.675,10785
2022-01-05,39.5,39.83,39.43,39.75,3657
2022-01-07,39.695,39.88,39.27,39.88,7773
2022-01-10,39.8,40.115,39.465,39.465,7338
2022-01-11,39.615,40.45,39.59,40.4,20476
2022-01-12,40.725,41.55,40.725,41.44,29572
2022-01-13,41.4,41.83,41.32,41.51,25038
2022-01-14,41.36,41.54,40.855,41.1,7717
2022-01-17,41.06,41.09,40.72,40.88,5634
2022-01-18,40.545,40.7,39.985,40.7,10794
2022-01-19,39.69,40.295,39.445,39.94,34899
2022-01-20,40.225,40.225,39.625,39.87,8220
2022-01-21,39.55,39.55,38.875,39.2,11089
2022-01-24,39.01,39.23,37.12,37.41,71422
2022-01-25,37.835,38.165,37.4,38.12,12439
2022-01-26,38.185,38.7,38.185,38.49,10728
2022-01-27,38.065,38.7,38,38.7,7029
2022-01-28,38.395,38.395,37.4,37.62,52943
2022-01-31,38.085,38.225,37.77,38.07,30462
2022-02-01,38.5,38.52,38.115,38.265,12998
2022-02-02,38.45,39,38.365,38.9,15721
2022-02-03,38.665,38.775,38.365,38.565,4999
2022-02-04,38.56,38.56,37.525,37.525,9488
2022-02-07,37.87,37.87,37.06,37.41,9833
2022-02-08,37.52,38.15,37.52,38.15,16362
2022-02-09,38.2,38.49,38.2,38.49,6636
2022-02-10,38.5,38.5,37.875,38.15,6505
2022-02-11,37.875,37.94,37.455,37.94,3355
2022-02-14,36.96,37.37,36.47,37.29,33848
2022-02-15,37.5,38.315,37.5,38.07,19184
2022-02-16,38.395,38.74,37.985,38.16,8532
2022-02-17,38.205,38.205,37.32,37.355,9325
2022-02-18,37.44,37.64,37,37,12580
2022-02-21,37.47,37.47,35.51,36,33430
2022-02-22,34.855,36.295,34.545,36.265,21918
2022-02-23,36.525,36.665,35.15,35.15,9077
2022-02-24,33.075,33.075,30.65,31.5,157197
2022-02-25,32.62,34.35,32,33.93,117119
2022-02-28,36,36,33,34.445,48697
2022-03-01,35.1,35.295,33.78,33.915,18188
2022-03-02,34,35.16,33.8,35.16,26803
2022-03-03,35.53,35.53,34.5,34.59,15102
2022-03-04,34.17,34.17,32.8,33.07,36555
2022-03-07,32.78,33.7,32.04,33.3,34677
2022-03-08,33.305,33.98,32.755,32.9,23628
2022-03-09,33.405,34.05,33.1,33.1,22855
2022-03-10,34.15,34.235,33.575,33.91,33700
2022-03-11,34.5,35.205,34.36,34.99,29605
2022-03-14,34.75,34.95,34,34,24378
2022-03-15,33.895,34.775,33.55,34.745,14959
2022-03-16,35.145,35.5,34.93,35.45,15513
2022-03-17,36,36.455,35.7,36.4,29983
2022-03-18,36.405,36.73,36,36,10346
2022-03-21,36.55,36.605,35.845,36.01,8335
2022-03-22,36.23,36.745,36.045,36.745,4417
2022-03-23,36.7,37,36.23,36.425,21069
2022-03-24,36.705,37,36.32,36.94,3724
2022-03-25,36.965,36.965,36.08,36.385,11810
2022-03-28,36.715,36.81,36.405,36.65,7402
2022-03-29,36.575,37.46,36.3,37.43,22685
2022-03-30,37.43,37.55,37.2,37.53,13798
2022-03-31,37.48,37.53,36.74,36.74,6085
2022-04-01,36.98,37.33,36.93,37.2,3891
2022-04-04,37.37,37.56,36.965,37.13,10101
2022-04-05,37.21,37.21,36.5,36.75,7816
2022-04-06,36.565,36.565,35.805,36.09,13271
2022-04-07,36.19,36.375,35.71,35.71,15878
2022-04-08,36.055,36.185,35.71,35.75,2286
2022-04-11,35.865,36.49,35.545,36.49,7005
2022-04-12,36.05,36.305,36,36.15,6086
2022-04-13,36.325,36.325,35.9,36.28,2441
2022-04-14,36.4,36.4,35.92,36,2380
2022-04-19,36.17,36.17,35.23,35.57,10133
2022-04-20,35.92,36.065,35.275,35.33,4205
2022-04-21,35.5,35.5,34.88,34.88,7838
2022-04-22,34.675,34.74,34,34.4,19600
2022-04-25,33.455,33.975,33,33.24,30453
2022-04-26,33.6,33.6,32.63,33,15370
2022-04-27,32.565,32.68,32.17,32.4,27147
2022-04-28,32.86,32.86,32.23,32.24,20995
2022-04-29,32.78,32.92,31.835,32.2,21147
2022-05-02,31.765,31.765,31.3,31.35,27909
2022-05-04,31.79,32,31.075,32,15535
2022-05-05,32.045,32.045,30.5,30.5,58751
2022-05-06,30.035,30.37,29.595,30.37,39450
2022-05-09,30.325,30.34,29.69,29.85,27498
2022-05-10,30,30.07,29.32,29.54,39387
2022-05-11,29.65,30.015,29.42,29.52,23899
2022-05-12,29.045,29.39,28.43,29.125,42982
2022-05-13,29.775,30.5,29.6,30.5,33422
2022-05-16,30.695,30.89,30.055,30.29,26140
2022-05-17,30.66,31.285,30.495,31.075,70716
2022-05-18,31.375,31.415,30.905,30.95,38314
2022-05-19,30.475,30.735,30.175,30.51,21638
2022-05-20,30.89,31.075,30.71,30.8,30640
2022-05-23,31.31,31.58,31.08,31.55,17807
2022-05-24,31.69,31.705,31.16,31.2,18474
2022-05-25,31.415,31.505,30.775,31,8666
2022-05-26,30.985,31.485,30.85,31.39,8869
2022-05-27,31.485,31.49,31.02,31.2,9113
2022-05-30,31.6,32.43,31.45,32.43,19270
2022-05-31,31.985,32.065,31.65,31.71,9540
2022-06-01,31.695,31.72,31.26,31.38,12035
2022-06-02,31.5,31.71,31.29,31.67,13164
2022-06-03,31.8,31.87,31.22,31.285,12346
2022-06-06,31.55,31.82,31.275,31.82,6032
2022-06-07,31.63,31.63,31.3,31.43,6405
2022-06-08,31.455,31.455,30.74,31.05,26920
2022-06-09,30.86,31.055,30.4,30.4,14713
2022-06-10,30.115,30.155,29.65,29.71,23417
2022-06-13,29.295,29.4,28.8,29,39433
2022-06-14,29.3,29.44,28.92,29.325,25469
2022-06-15,29.325,29.445,28.8,29.39,19866
2022-06-17,28.935,29.7,28.765,29.7,14926
2022-06-20,29.255,29.255,28.83,28.92,16142
2022-06-21,29.26,29.625,29.2,29.62,23887
