Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-01-03,190.752,190.752,187.059,188.255,12544.670751555
2022-01-04,192.222,192.65,187.951,187.951,3983.1541914367
2022-01-05,188.046,188.425,187.419,187.647,3340.5400531727
2022-01-07,187.932,187.932,182.217,182.217,13481.20184814
2022-01-10,182.921,182.921,179.237,179.256,12401.399402696
2022-01-11,181.287,182.921,180.793,180.927,4645.784179909
2022-01-12,183.319,183.394,182.217,182.217,4142.2275273021
2022-01-13,184.154,184.154,181.078,181.629,4010.544302248
2022-01-14,179.408,179.769,177.774,178.934,7553.3497891038
2022-01-17,179.711,180.357,179.408,179.94,2039.5097896381
2022-01-18,183.908,183.908,177.642,178.268,5340.0181423943
2022-01-19,177.225,178.212,175.611,177.053,9500.1545883038
2022-01-20,176.162,177.034,175.099,176.123,4468.8019254363
2022-01-21,173.636,174.092,167.067,173.884,31481.771980136
2022-01-24,171.472,172.136,166.119,167.998,31290.041204458
2022-01-25,166.119,174.281,166.119,169.916,12222.310216622
2022-01-26,171.092,175.325,171.092,173.712,8883.8770950505
2022-01-27,173.694,176.559,171.264,174.718,8544.6611073112
2022-01-28,177.452,177.452,170.865,172.764,4762.7188837571
2022-01-31,176.788,177.945,176.123,177.945,3622.8688876887
2022-02-01,178.839,179.598,177.301,177.737,8036.8905915025
2022-02-02,179.655,179.692,178.079,178.686,3852.5244321831
2022-02-03,179.846,179.846,174.51,174.757,4569.9346422779
2022-02-04,178.629,178.629,171.624,173.181,2499.8743444272
2022-02-07,174.471,174.471,173.523,173.921,2488.2862206225
2022-02-08,174.187,174.187,171.985,172.764,2790.6309053467
2022-02-09,174.852,175.478,173.998,175.288,2039.5097896381
2022-02-10,175.116,177.49,173.712,174.129,1844.618616558
2022-02-11,172.914,174.928,172.231,174.415,2179.6207410956
2022-02-14,168.966,173.219,168.966,171.491,9669.7625821735
2022-02-15,170.978,173.712,170.978,172.023,6428.2483142415
2022-02-16,171.567,172.251,170.676,170.771,3641.8312720965
2022-02-17,172.004,172.004,170.751,170.751,4950.2357962341
2022-02-18,170.541,170.865,168.966,170.086,2763.2407945355
2022-02-21,169.308,169.517,167.524,167.524,4976.572441245
2022-02-22,167.067,169.859,166.935,168.966,8300.2570416107
2022-02-23,168.776,168.966,168.017,168.093,3174.0924567043
2022-02-24,158.031,171.985,151.881,171.814,27932.645698478
2022-02-25,171.814,174.11,170.561,173.143,6785.3732205882
2022-02-28,174.224,180.262,174.224,176.997,9287.3544966163
2022-03-01,178.819,182.179,177.794,180.357,3061.371616058
2022-03-02,180.357,186.526,179.977,186.243,5658.164814125
2022-03-03,183.888,185.863,183.204,184.174,5872.0183716129
2022-03-04,183.204,187.951,182.921,184.154,5530.6954522727
2022-03-07,184.059,189.849,184.059,185.464,10091.148902347
2022-03-08,185.103,185.103,180.68,183.566,4640.5168509069
2022-03-09,182.921,183.204,177.699,179.846,3120.3657008822
2022-03-10,183.185,183.185,179.369,179.369,6960.2485434601
2022-03-11,180.547,182.806,180.357,181.021,2253.3633471259
2022-03-14,178.344,178.971,176.18,176.408,4917.5783564207
2022-03-15,174.547,177.889,172.972,177.509,2989.7359416285
2022-03-16,179.351,180.092,178.327,179.142,2871.7477719801
2022-03-17,179.731,180.035,178.629,179.198,3858.8452269857
2022-03-18,180.357,183.831,180.357,183.641,1496.9749024151
2022-03-21,184.154,185.103,183.375,184.629,4356.08108479
2022-03-22,186.053,186.318,184.476,186.318,2754.813068132
2022-03-23,186.053,187.477,186.053,187.003,3671.3283145086
2022-03-24,186.603,188.787,186.603,188.502,3006.5913944355
2022-03-25,188.901,190.703,188.141,189.052,3732.4293309337
2022-03-28,189.375,190.703,189.337,189.678,2512.5159340324
2022-03-29,190.561,191.652,186.85,188.198,8213.8728459752
2022-03-30,188.824,189.831,187.003,187.192,2777.9893157415
2022-03-31,187.134,188.558,186.908,186.963,2740.0645469259
2022-04-01,186.375,186.812,185.578,185.919,3005.537928635
2022-04-04,186.509,189.755,185.597,187.211,2302.8762397463
2022-04-05,188.369,188.901,187.192,188.711,1451.6758729965
2022-04-06,188.425,188.901,184.629,186.053,3656.5797933026
2022-04-07,186.944,187.572,185.103,185.103,1909.9334961848
2022-04-08,187.951,188.521,187.003,187.951,1943.6444017987
2022-04-11,186.717,187.932,185.103,185.825,1634.9789222718
2022-04-12,185.103,186.737,184.154,185.767,1266.2658921203
2022-04-13,185.103,185.958,184.154,184.99,772.19043171731
2022-04-14,185.389,187.003,184.154,185.484,1483.2798470095
2022-04-19,184.951,186.053,183.299,186.053,2150.1236986835
2022-04-20,186.983,186.983,185.882,186.717,752.17458150908
2022-04-21,187.174,187.477,185.882,187.477,1651.8343750788
2022-04-22,184.685,184.685,182.73,182.806,1904.6661671827
2022-04-25,179.333,180.888,178.458,179.751,4741.6495677484
2022-04-26,182.711,182.711,179.598,180.357,779.56469232034
2022-04-27,181.306,184.154,181.061,183.566,3699.7718911203
2022-04-28,184.154,186.013,184.134,184.134,1175.6678332831
2022-04-29,184.154,184.154,182.579,183.129,921.78257537878
2022-05-02,183.185,183.185,179.027,180.262,2909.6725407956
2022-05-04,180.281,182.73,180.281,181.002,1437.9808175909
2022-05-05,183.204,184.629,180.832,180.832,3478.5440730294
2022-05-06,180.832,180.832,176.484,179.142,4168.5641723129
2022-05-09,178.458,178.458,175.364,175.498,3289.9736947519
2022-05-10,174.661,175.458,172.764,173.979,2683.1773937026
2022-05-11,174.129,175.593,170.068,174.11,3883.0749403956
2022-05-12,173.656,173.656,169.916,171.15,3128.7934272857
2022-05-13,172.46,176.559,172.46,176.559,3710.3065491246
2022-05-16,176.237,176.237,174.605,175.325,2078.4880242541
2022-05-17,174.187,176.18,174.187,174.187,2168.0326172909
2022-05-18,175.611,176.523,173.181,173.181,1387.4144591701
2022-05-19,172.08,172.08,166.119,167.827,6028.9847758774
2022-05-20,167.827,169.801,165.966,165.985,3370.0370955848
2022-05-23,162.511,168.435,162.511,166.213,14217.574442642
2022-05-24,165.606,165.606,161.846,163.176,2633.6645010822
2022-05-25,165.339,168.054,164.466,168.054,3709.2530833242
2022-05-26,168.948,170.124,166.347,170.124,1752.9670919203
2022-05-27,170.39,171.718,170.124,171.718,1837.244355955
2022-05-30,172.859,175.611,172.859,174.301,2067.9533662498
2022-05-31,173.674,174.054,171.909,172.764,1380.0401985671
2022-06-01,173.731,175.611,172.859,172.859,1129.3153380641
2022-06-02,172.764,173.39,170.865,171.605,959.70734419436
2022-06-03,174.358,174.396,171.814,172.649,1007.1133052138
2022-06-06,175.593,175.593,172.649,173.712,1017.6479632182
2022-06-07,172.289,172.764,171.814,172.764,1009.2202368147
2022-06-08,173.067,174.054,172.764,172.764,441.40217038138
2022-06-09,172.896,173.143,170.39,173.048,1483.2798470095
2022-06-10,170.694,171.245,166.802,168.321,2565.1892240541
2022-06-13,165.852,167.998,163.935,167.998,3811.4392659662
2022-06-14,165.89,165.89,162.473,163.745,3368.9836297844
2022-06-15,164.22,167.998,163.271,163.271,1583.3590980506
2022-06-17,162.379,162.834,159.379,159.853,3122.4726324831
2022-06-20,160.025,161.372,159.284,159.91,1486.4402444108
2022-06-21,160.025,162.796,160.025,162.796,802.74093992986
2022-06-22,161.657,164.22,160.422,164.22,1706.6145967013
2022-06-23,164.22,165.169,163.384,165.169,731.10526550042
2022-06-24,165.53,168.491,165.53,168.491,1573.8779058467
2022-06-27,168.149,170.865,168.149,169.441,1415.8580357818
2022-06-28,170.846,170.865,168.966,169.916,567.81806643333
2022-06-29,169.896,169.896,165.473,167.978,1251.5173709143
2022-06-30,168.948,168.948,164.695,164.79,771.13696591687
2022-07-01,168.758,168.758,165.548,167.067,902.82019097098
2022-07-04,168.131,168.776,167.277,168.017,783.77855552207
2022-07-05,168.966,170.787,168.966,169.916,1540.1670002329
2022-07-06,170.452,176.906,170.452,174.281,4719.1228202372
2022-07-07,175.239,178.112,175.239,178.112,1890.1554115135
2022-07-08,180.028,180.563,178.304,178.592,1142.44752497
2022-07-11,175.335,180.507,175.335,180.507,2526.1248289785
2022-07-12,180.545,180.984,179.702,180.124,2144.9608924026
2022-07-13,180.028,180.793,178.592,180.028,794.70070064185
2022-07-14,180.391,180.391,175.757,176.867,1149.7575182742
2022-07-15,178.592,179.415,176.695,178.017,1044.2847577422
2022-07-18,178.112,180.028,178.017,178.592,1724.1141350325
2022-07-19,177.653,178.687,175.239,178.093,1243.743146471
2022-07-20,178.112,180.028,174.281,180.028,1066.2147376548
2022-07-21,180.028,180.889,178.687,178.687,786.34642257991
2022-07-22,180.889,182.422,180.028,181.942,3101.5257304945
2022-07-25,181.08,181.08,177.595,179.663,451.13101534465
2022-07-26,179.702,181.578,177.327,179.471,1316.843079513
2022-07-27,180.257,183.092,180.257,183.073,2891.6244941883
2022-07-28,183.169,185.295,183.092,184.815,1725.1584197902
2022-07-29,184.893,186.808,184.893,186.731,1872.4025706319
2022-08-01,187.21,187.688,185.351,186.615,2805.9931440534
2022-08-02,186.615,186.615,183.858,185.773,1451.5558132617
2022-08-03,186.253,186.731,184.815,186.157,1047.4176120155
2022-08-04,186.157,189.507,186.157,188.645,2506.2834185814
2022-08-05,188.397,188.435,186.98,188.071,1427.5372638337
2022-08-08,188.55,189.507,186.75,188.645,1415.0058467407
2022-08-09,188.378,188.473,185.773,186.443,1894.3325505444
2022-08-10,186.654,187.191,185.773,187.095,983.7162417932
2022-08-11,187.114,188.55,186.731,187.191,748.75217130119
2022-08-12,187.688,188.55,187.688,188.512,719.51219808441
2022-08-16,189.201,193.434,189.125,192.572,4985.4154334615
2022-08-17,192.572,194.295,189.603,191.519,5791.6032664385
2022-08-18,191.519,194.295,191.519,194.295,1513.1686139685
2022-08-19,195.109,195.781,194.823,195.205,2522.9919747053
2022-08-22,190.083,194.391,190.083,194.391,2713.0518006144
2022-08-23,194.391,195.781,193.865,194.007,776.94785976023
2022-08-24,195.062,195.062,193.098,194.295,883.46490504994
2022-08-25,195.349,195.349,194.535,195.253,664.16510592407
2022-08-26,195.253,195.253,191.615,191.615,1006.6905064635
2022-08-29,189.603,189.834,187.612,187.688,2575.2062125924
2022-08-30,187.688,189.412,184.911,185.065,2332.9321487962
2022-08-31,185.295,186.731,183.877,183.877,1681.298459965
2022-09-01,182.728,183.455,181.08,181.942,1722.025565517
2022-09-02,182.517,186.731,182.517,185.256,1681.298459965
2022-09-05,185.754,185.754,184.069,184.586,1521.5228920305
2022-09-06,183.858,184.873,181.942,183.322,569.13519296953
2022-09-07,182.9,184.298,182.9,183.532,770.68215121378
2022-09-08,185.754,186.731,183.858,185.141,1243.743146471
2022-09-09,185.391,187.401,184.815,187.343,1534.0543091234
2022-09-12,187.67,187.67,184.241,186.731,3331.2683771978
2022-09-13,190.505,190.542,184.049,184.337,2124.0751972477
2022-09-14,184.376,184.376,182.038,183.379,1116.3404060265
2022-09-15,184.643,184.815,182.326,182.326,771.72643597152
2022-09-16,182.326,182.326,178.898,179.186,1663.5456190834
2022-09-19,179.549,179.549,176.695,179.262,1703.2284398776
2022-09-20,180.507,181.139,179.07,179.913,2382.0135324101
2022-09-21,180.028,182.708,179.933,182.498,3651.8637978246
2022-09-22,181.942,182.708,179.357,179.357,1690.6970227847
2022-09-23,179.471,179.817,177.154,177.959,5319.586555939
2022-09-26,176.465,179.07,176.465,179.07,1016.0890692832
2022-09-27,178.496,181.176,178.496,181.176,571.22376248501
2022-09-28,181.751,181.751,178.093,181.139,768.5935816983
2022-09-29,181.33,181.33,178.265,179.702,680.87366204795
2022-09-30,178.496,180.832,173.343,178.112,4257.5489573151
2022-10-03,177.73,177.73,172.865,177.154,1496.4600578446
2022-10-04,177.634,180.507,177.634,180.276,1591.4899707992
2022-10-05,180.065,180.507,178.112,180.085,1492.2829188137
2022-10-06,180.984,183.571,180.984,183.571,902.2620306893
2022-10-07,183.59,183.59,179.759,179.759,1145.5803792432
2022-10-10,180.009,180.756,178.112,178.304,883.46490504994
2022-10-11,183.551,183.551,176.197,176.943,1327.2859270904
2022-10-12,176.925,176.925,176.197,176.217,677.74080777472
2022-10-13,176.217,181.942,176.197,180.028,986.84909606643
2022-10-14,179.357,180.028,176.293,176.369,1623.8627982892
2022-10-17,177.385,177.634,175.239,175.239,2311.0021688836
2022-10-18,177.634,180.66,177.634,178.533,860.49064037961
2022-10-19,180.009,180.009,178.112,179.837,503.34525323176
